system:index,Class,Image,mod_area,mod_bgr_post,mod_bgr_pre,rap_area,rap_bgr_post,rap_bgr_pre,.geo
0000000000000000000a_0000000000000000000a,1,1,2491.966230355397,798.069469557441,792.8569906116519,2486.2554612779013,121.49028652731893,155.52212617095853,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0000000000000000000b,1,1,2494.6112174433138,519.0670941768444,558.214660345693,2492.611728555383,167.9025665294056,140.68732023517336,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0000000000000000000c,1,1,2494.2957693734757,443.7391191146698,514.0444453132735,2481.571045424491,116.10360336754847,162.87819607064898,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0000000000000000000d,1,1,2492.341742985596,1735.024473312391,1719.466637743681,2488.049856532434,1612.5868431035274,1481.5368246785338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0000000000000000000e,1,1,2494.230340042887,942.7009093382306,883.7023022831106,2490.9330424349596,234.68389963644867,238.17746783399477,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0000000000000000000f,1,1,2489.732030327831,1987.39746794809,1863.391935896019,2487.676442571248,1160.3039717518313,1232.3830107433637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_00000000000000000010,1,1,2492.312217153809,510.8027186794236,605.1137532535159,2490.368179531742,167.39495962878183,190.99317844259832,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_00000000000000000011,1,1,2494.0669226654327,497.1205007683913,599.998402775227,2491.978829536382,38.28110886706161,84.65699157468093,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_00000000000000000012,1,1,2488.819446815259,1570.1522127219669,1536.7295181290046,2484.9839613511094,1021.033744624671,1015.32687811905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_00000000000000000013,1,1,2490.9560122855346,1223.772141404498,1418.1631611813752,2487.0229845095237,606.5113322424902,670.6219646187022,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_00000000000000000014,1,1,2491.581713368557,880.9844931312407,811.3568322377865,2487.7242944708596,288.98408382835873,319.78893707045586,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_00000000000000000015,1,1,2474.445553246021,1906.628806880517,1849.6004271073,2485.0998675556975,1444.0874509384419,1419.8210502959944,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_00000000000000000016,1,1,2491.7615677451017,1308.9368701415876,1225.572254705552,2487.9712663400765,133.51621206930233,154.87655519876856,"{""type"":""MultiPoint"",""coordinates"":[]}"
